Sampling Feature UUID: a8098bc0-141d-4882-b251-bedc0219fe1b
Date and Time in UTC+0
Result UUID: ,36f4f6a1-2f36-4083-b8a8-94f50acdd066,55f349b7-3491-40de-a828-9abb31e9f20d,fbee68c8-5463-4a38-98a8-f985fba923e8,be1d621e-95d4-447e-bee7-97d4102c9f2e
2023-11-11 10:02:35,337,3.07,8.32,41
2023-11-11 11:02:35,338,2.73,7.47,39
2023-11-11 12:02:35,339,2.82,7.36,42
2023-11-11 13:02:35,340,2.78,7.03,42
2023-11-11 14:02:35,341,2.77,6.07,46
2023-11-11 15:02:35,342,2.62,4.94,47
2023-11-11 16:02:35,343,3.02,4.17,48
2023-11-11 17:02:35,344,2.93,2.34,54
2023-11-11 18:02:35,345,2.69,2.01,55
2023-11-11 19:02:35,346,2.69,1.49,59
2023-11-11 20:02:35,347,2.84,2.32,55
2023-11-11 21:02:35,348,2.85,1.0,60
2023-11-11 22:02:35,349,2.95,1.48,59
2023-11-11 23:02:35,350,3.05,0.3,63
2023-11-12 00:02:35,351,2.91,0.61,63
2023-11-12 01:02:35,352,2.66,-2.27,70
2023-11-12 02:02:35,353,2.8,-1.72,70
2023-11-12 03:02:35,354,2.88,4.54,55
2023-11-12 04:02:35,355,2.81,9.1,33
2023-11-12 05:02:35,356,2.91,12.99,25
2023-11-12 06:02:35,357,2.83,14.74,22
2023-11-12 07:02:35,358,2.85,13.34,24
2023-11-12 09:02:35,360,2.97,12.5,20
2023-11-12 10:02:35,361,2.82,10.71,26
2023-11-12 11:02:35,362,2.92,5.21,40
2023-11-12 12:02:35,363,2.73,1.58,49
2023-11-12 13:02:35,364,2.65,-0.49,60
2023-11-12 14:02:35,365,2.89,-1.46,63
2023-11-12 15:02:35,366,3.01,-0.67,64
2023-11-12 16:02:35,367,2.73,-1.35,67
2023-11-12 17:02:35,368,2.91,0.05,61
2023-11-12 18:02:35,369,2.81,-1.44,65
2023-11-12 19:02:35,370,2.57,-2.76,71
2023-11-12 20:02:35,371,2.8,-2.57,72
2023-11-12 21:02:35,372,2.89,-3.47,72
2023-11-12 22:02:35,373,2.87,-3.3,76
2023-11-12 23:02:35,374,2.94,-2.41,76
2023-11-13 00:02:35,375,2.83,-2.97,80
2023-11-13 01:02:35,376,2.79,-2.9,81
2023-11-13 02:02:35,377,2.94,-3.02,81
2023-11-13 03:02:35,378,2.77,-1.67,78
2023-11-13 04:02:35,379,2.78,2.64,62
2023-11-13 05:02:35,380,2.59,5.85,51
2023-11-13 06:02:35,381,2.73,9.96,40
2023-11-13 07:02:35,382,2.79,13.5,32
2023-11-13 08:02:35,383,2.77,15.71,22
2023-11-13 09:02:35,384,2.58,13.99,26
2023-11-13 10:02:35,385,2.75,9.38,34
2023-11-13 11:02:35,386,2.79,5.63,42
2023-11-13 12:02:35,387,3.03,5.52,40
2023-11-13 13:02:35,388,2.67,4.01,45
2023-11-13 14:02:35,389,2.8,0.52,54
2023-11-13 15:02:35,390,2.46,-3.02,66
2023-11-13 16:02:35,391,2.81,-3.53,70
2023-11-13 17:02:35,392,2.78,-4.15,71
2023-11-13 18:02:35,393,2.62,-4.34,74
2023-11-13 19:02:35,394,2.6,-3.98,72
2023-11-13 20:02:35,395,3.09,-6.38,78
2023-11-13 21:02:35,396,2.49,-6.41,81
2023-11-13 22:02:35,397,2.94,-6.1,83
2023-11-13 23:02:35,398,2.74,-7.05,83
2023-11-14 00:02:35,399,2.62,-7.44,86
2023-11-14 01:02:35,400,2.98,-7.74,87
