Node,Message,Time UTC,Battery V,Last TX Dur ms,Temp C,Hum %,Status,Notes
5,79,2023-10-31T17:29:17,2.59,4.28,-5.95,90,0x0,
10,80,2023-10-31T17:36:27,3.38,4.28,-0.2,100,0x0,
3,80,2023-10-31T18:02:35,2.71,4.25,-7.25,89,0x0,
5,80,2023-10-31T18:29:17,2.6,4.27,-5.55,89,0x0,
10,81,2023-10-31T18:36:27,3.38,4.27,-0.24,100,0x0,
3,81,2023-10-31T19:02:35,2.68,4.25,-6.93,89,0x0,
5,81,2023-10-31T19:29:17,2.89,4.27,-6.2,92,0x0,
10,82,2023-10-31T19:36:27,3.38,4.27,-0.43,100,0x0,
3,82,2023-10-31T20:02:35,2.65,4.25,-7.92,90,0x0,
5,82,2023-10-31T20:29:17,2.65,4.27,-6.36,92,0x0,
10,83,2023-10-31T20:36:27,3.38,4.28,-0.54,100,0x0,
3,83,2023-10-31T21:02:35,2.71,4.25,-8.09,90,0x0,
5,83,2023-10-31T21:29:17,2.79,4.27,-7.62,91,0x0,
10,84,2023-10-31T21:36:27,3.38,4.27,-0.64,100,0x0,
3,84,2023-10-31T22:02:35,2.52,4.25,-7.87,91,0x0,
5,84,2023-10-31T22:29:17,3.04,4.27,-8.38,92,0x0,
10,85,2023-10-31T22:36:27,3.38,4.27,-0.78,100,0x0,
3,85,2023-10-31T23:02:35,2.62,4.25,-10.71,88,0x0,
5,85,2023-10-31T23:29:17,2.56,4.27,-9.47,93,0x0,
10,86,2023-10-31T23:36:27,3.38,4.28,-1.04,100,0x0,
3,86,2023-11-01T00:02:35,2.84,4.25,-11.52,87,0x0,
5,86,2023-11-01T00:29:17,2.69,4.27,-10.91,89,0x0,
10,87,2023-11-01T00:36:27,3.38,4.27,-1.24,100,0x0,
3,87,2023-11-01T01:02:35,2.55,4.24,-11.55,86,0x0,
5,87,2023-11-01T01:29:17,2.89,4.27,-11.31,89,0x0,
10,88,2023-11-01T01:36:27,3.38,4.27,-1.48,100,0x0,
3,88,2023-11-01T02:02:35,3.09,4.25,-13.07,86,0x0,
5,88,2023-11-01T02:29:17,2.7,4.27,-11.24,88,0x0,
10,89,2023-11-01T02:36:27,3.38,4.27,-1.82,100,0x0,
3,89,2023-11-01T03:02:35,2.71,4.25,-11.94,87,0x0,
5,89,2023-11-01T03:29:17,2.71,4.28,-6.44,88,0x0,
10,90,2023-11-01T03:36:27,3.38,4.27,-2.17,100,0x0,
3,90,2023-11-01T04:02:35,2.78,4.24,-4.1,87,0x0,
5,90,2023-11-01T04:29:17,2.83,4.27,-0.6,72,0x0,
10,91,2023-11-01T04:36:27,3.38,4.27,-2.17,100,0x0,
3,91,2023-11-01T05:02:35,2.75,4.26,1.27,61,0x0,
